source_full	source_current	source_context	source_tagged	gold_target_full	gold_target_current	gold_target_context	gold_target_tagged	generated_target_full	generated_target_current	generated_target_context
Shh. Shh. Shh. But Dairy Queen? Dairy Queens are like California real estate.<brk> Value may dip every now and then, but it always goes back up in the summertime.	Value may dip every now and then, but it always goes back up in the summertime.	Shh. Shh. Shh. But Dairy Queen? Dairy Queens are like California real estate.	Value may dip every now and then, but <p>it</p> always goes back up in the summertime.	Leur  valeur  peut baisser ici et là, mais elle remonte toujours pendant l'été.	Leur  valeur  peut baisser ici et là, mais elle remonte toujours pendant l'été.	Shh. Shh. Shh. Mais un Dairy Queen ? Les Dairy Queens sont comme l'immobilier en Calfornie.	Leur  <hon>valeur<hoff>  peut baisser ici et là, mais <p>elle</p> remonte toujours pendant l'été.	La valeur peut baisser de temps en temps, mais elle remonte toujours en été.	La valeur peut baisser de temps en temps, mais elle remonte toujours en été.	
He helped me get to the bottom of our little peeping Tom issue. Is that such a good idea? I trust him. And believe me, if he cared so much about the Charleston PD, he wouldn't have given me this. Now, Ed was able to extract a whole mess of video clips.<brk> Basically, everything the camera saw when it became motion-activated.	Basically, everything the camera saw when it became motion-activated.	He helped me get to the bottom of our little peeping Tom issue. Is that such a good idea? I trust him. And believe me, if he cared so much about the Charleston PD, he wouldn't have given me this. Now, Ed was able to extract a whole mess of video clips.	Basically, everything the camera saw when <p>it</p> became motion-activated.	C'est tout ce que la  caméra  a vu quand elle a été activée par les mouvements.	C'est tout ce que la  caméra  a vu quand elle a été activée par les mouvements.	Il m'a aidé avec notre petit problème avec Tom. C'est une si bonne idée ? Je lui fais confiance. Et crois-moi, s'il se préoccupait autant de la Charleston PD, il ne m'aurait pas donné ça. Ed a pu extraire des vidéos.	C'est tout ce que la  <hon>caméra<hoff>  a vu quand <p>elle</p> a été activée par les mouvements.	En gros, tout ce que la caméra voyait quand elle est devenue activée par le mouvement.	En gros, tout ce que la caméra voyait quand elle est devenue activée par le mouvement.	
What is this place? You are at U.S. Cyber Command in angel's bluff, Virginia. Virginia? Is that where I live? It's where you work.<brk> You have a microchip in your brain... and it's malfunctioning.	You have a microchip in your brain... and it's malfunctioning.	What is this place? You are at U.S. Cyber Command in angel's bluff, Virginia. Virginia? Is that where I live? It's where you work.	You have a microchip in your brain... and <p>it</p>'s malfunctioning.	Tu as une  micro-puce  dans ton cerveau et elle fonctionne mal.	Tu as une  micro-puce  dans ton cerveau et elle fonctionne mal.	Quel est cet endroit ? Tu es à l'U.S. Cyber Command à Angel's Bluff, en Virginie. En Virginie ? C'est là que je vis ? C'est là que tu travailles.	Tu as une  <hon>micro-puce<hoff>  dans ton cerveau et <p>elle</p> fonctionne mal.	Vous avez une puce dans votre cerveau... et elle ne fonctionne pas.	Vous avez une puce dans votre cerveau... et elle ne fonctionne pas.	
Can't say I'm going to argue with you there. Ah, get it, I got to go. Didn't expect to hear from you. I didn't expect to call, but I found a bug in my office. I'm assuming not a cockroach?<brk> I ran it for prints; they're classified, the prints.	I ran it for prints; they're classified, the prints.	Can't say I'm going to argue with you there. Ah, get it, I got to go. Didn't expect to hear from you. I didn't expect to call, but I found a bug in my office. I'm assuming not a cockroach?	I ran it for prints; <p>they</p>'re classified, the prints.	J'ai cherché les  empreintes , elles sont classifiées.	J'ai cherché les  empreintes , elles sont classifiées.	Là je peux pas te donner tord. Ah, compris, je dois y aller. Je ne m'attendais pas à avoir de tes nouvelles. Je ne m'attendais pas à recevoir cet appel. Moi non plus, mais j'ai trouvé un mouchard dans mon bureau. Je suppose que ce n'était pas un cafard ?	J'ai cherché les  <hon>empreintes<hoff> , <p>elles</p> sont classifiées.	J'ai cherché des empreintes, elles sont classées, les empreintes.	J'ai cherché des empreintes, elles sont classées, les empreintes.	
Harry, he never liked the band. You were having an intimate relationship with Mr Lester weren't you? He was a friend of mine. You were having a sexual relationship with him? I'm not going to answer that.<brk> No, you don't have to, I just have to look around, all your photographs, they say it all.	No, you don't have to, I just have to look around, all your photographs, they say it all.	Harry, he never liked the band. You were having an intimate relationship with Mr Lester weren't you? He was a friend of mine. You were having a sexual relationship with him? I'm not going to answer that.	No, you don't have to, I just have to look around, all your photographs, <p>they</p> say it all.	Vous n'êtes pas obligée, il me suffit de regarder, toutes ces  photos , elles le disent toutes.	Vous n'êtes pas obligée, il me suffit de regarder, toutes ces  photos , elles le disent toutes.	Harry, il n'a jamais aimé le groupe. Vous aviez une relation intime avec M. Lester. C'était un ami. Vous aviez une relation sexuelle avec lui ? Je ne vous répondrai pas.	Vous n'êtes pas obligée, il me suffit de regarder, toutes ces  <hon>photos<hoff> , <p>elles</p> le disent toutes.	Non, vous n'avez pas à le faire, je dois juste regarder autour de vous, toutes vos photos, elles disent tout.	Non, vous n'avez pas à le faire, je dois juste regarder autour de vous, toutes vos photos, elles disent tout.	
Okay, now jump. I think we're almost there. Thank God. This cave is the worst. I know, I don't know what's more offensive... the actual racism or the insulting notion that it might somehow rub off on us. Jive turkeys!<brk> Kill them before they start multiplying!	Kill them before they start multiplying!	Okay, now jump. I think we're almost there. Thank God. This cave is the worst. I know, I don't know what's more offensive... the actual racism or the insulting notion that it might somehow rub off on us. Jive turkeys!	Kill them before <p>they</p> start multiplying!	Des  dindes ! Tuez-les avant qu'elles ne se multiplient!	Des  dindes ! Tuez-les avant qu'elles ne se multiplient!	Ok, maintenant sautez. Je pense qu'on y est presque. Dieu merci, cette cave est horrible. Je sais, je ne sais pas ce qui est le plus offensant-- Le racisme latent ou l'injure ce qui pourrait de toute façon nous influencer Attention!	Des  <hon>dindes<hoff> ! Tuez-les avant qu'<p>elles</p> ne se multiplient!	Tuez-les avant qu'elles ne se multiplient!	Tuez-les avant qu'elles ne se multiplient!	
Let's go get some food. Actually, I signed us up to work at Rico's mathlete booth. And I thought maybe we could go to the formal tonight. Jo. You wanna come tonight?<brk> Don't say no right away, but I saw a dress a few booths down and I think it would look great on you.	Don't say no right away, but I saw a dress a few booths down and I think it would look great on you.	Let's go get some food. Actually, I signed us up to work at Rico's mathlete booth. And I thought maybe we could go to the formal tonight. Jo. You wanna come tonight?	Don't say no right away, but I saw a dress a few booths down and I think <p>it</p> would look great on you.	Ne dis pas non tout de suite, mais j'ai vu une  robe  dans un stand pas loin. et je pense qu'elle t'irait bien.	Ne dis pas non tout de suite, mais j'ai vu une  robe  dans un stand pas loin. et je pense qu'elle t'irait bien.	Allons chercher quelque chose à manger. Je me suis inscrite pour travailler avec l'équipe de math de Rico. Et j'ai pensé qu'on aurait pu aller au bal ce soir. Jo. Tu veux venir ?	Ne dis pas non tout de suite, mais j'ai vu une  <hon>robe<hoff>  dans un stand pas loin. et je pense qu'<p>elle</p> t'irait bien.	Je ne dis pas non tout de suite, mais j'ai vu une robe quelques cabines et je pense qu'elle serait super pour toi.	Je ne dis pas non tout de suite, mais j'ai vu une robe quelques cabines et je pense qu'elle serait super pour toi.	
When I eventually get presented, the train has to be no less than three yards in length from the shoulders. It sounds rather ornate. It's tradition. For you, Mrs Selfridge. Oh!<brk> White roses, they are so beautiful!	White roses, they are so beautiful!	When I eventually get presented, the train has to be no less than three yards in length from the shoulders. It sounds rather ornate. It's tradition. For you, Mrs Selfridge. Oh!	White roses, <p>they</p> are so beautiful!	Des  roses  blanches, elles sont magnifiques !	Des  roses  blanches, elles sont magnifiques !	Si je fais un jour mes débuts, la traîne ne devra pas faire moins de 3m depuis les épaules. C'est plutôt chargé. C'est la tradition. Pour vous, Mme Selfridge. Oh !	Des  <hon>roses<hoff>  blanches, <p>elles</p> sont magnifiques !	Des roses blanches, elles sont si belles!	Des roses blanches, elles sont si belles!	
I gotta go let Agent Harris know. So she's safe. She's here somewhere, right? She's gotta be around here somewhere? She was.<brk> Castle, there was a blood trail that led from the van, and it stopped.	Castle, there was a blood trail that led from the van, and it stopped.	I gotta go let Agent Harris know. So she's safe. She's here somewhere, right? She's gotta be around here somewhere? She was.	Castle, there was a blood trail that led from the van, and <p>it</p> stopped.	Castle, il y avait une  traînée  de sang qui partait du van, mais après elle disparaît.	Castle, il y avait une  traînée  de sang qui partait du van, mais après elle disparaît.	Je dois aller avertir l'agent Harris. Alors elle est en sécurité. Elle est ici quelque part, pas vrai ? Elle doit être dans le coin ? Elle l'était.	Castle, il y avait une  <hon>traînée<hoff>  de sang qui partait du van, mais après <p>elle</p> disparaît.	Castle, il y avait une traînée de sang qui menait depuis le van, et elle s'est arrêtée.	Castle, il y avait une traînée de sang qui menait depuis le van, et elle s'est arrêtée.	
They duped my client of eighty lakhs it's in the bag... ls this correct uncle? Yes Come on then, to the police station Just wait and watch now Tarn... I will get the maximum sentence for her...<brk> So that all the girls of India will learn a lesson that they shouldn't dare trick innocent guys into 498a.	So that all the girls of India will learn a lesson that they shouldn't dare trick innocent guys into 498a.	They duped my client of eighty lakhs it's in the bag... ls this correct uncle? Yes Come on then, to the police station Just wait and watch now Tarn... I will get the maximum sentence for her...	So that all the girls of India will learn a lesson that <p>they</p> shouldn't dare trick innocent guys into 498a.	Ca servira de leçon aux  filles ! Elles n'utiliseront plus le 498a pour intimider des innocents.	Ca servira de leçon aux  filles ! Elles n'utiliseront plus le 498a pour intimider des innocents.	Ils ont extorqué 8 millions à mon client... Tout est dans le sac. C'est vrai? Oui. Alors suivez nous! T'en fais pas Taru... Elle aura la peine maximale!	Ca servira de leçon aux  <hon>filles<hoff> ! <p>Elles</p> n'utiliseront plus le 498a pour intimider des innocents.	Pour que toutes les filles d'Inde apprennent une leçon qu'elles ne devraient pas oser tromper des types innocents jusqu'au 498a.	Pour que toutes les filles d'Inde apprennent une leçon qu'elles ne devraient pas oser tromper des types innocents jusqu'au 498a.	
That's analog. It's how it sounds. Especially Neve's, you know. I mean, everything is just better. The human voice sounds better.<brk> When you got harmonies going together, they kind of meld together.	When you got harmonies going together, they kind of meld together.	That's analog. It's how it sounds. Especially Neve's, you know. I mean, everything is just better. The human voice sounds better.	When you got harmonies going together, <p>they</p> kind of meld together.	Quand tu fais des  harmonies  c'est comme si elles se fondaient les unes avec les autres.	Quand tu fais des  harmonies  c'est comme si elles se fondaient les unes avec les autres.	"C'estanalogique. C'est comme ça qu'elle sonne. [ Pat Benatar's ""Hit Me with Your Best Shot"" plays ] Etsurtoutla Neve,tusais . Je veux dire, tout est juste meilleur. La voix humaine sonne mieux."	Quand tu fais des  <hon>harmonies<hoff>  c'est comme si <p>elles</p> se fondaient les unes avec les autres.	Quand vous avez des harmonies qui vont ensemble, elles fusionnent en quelque sorte.	Quand vous avez des harmonies qui vont ensemble, elles fusionnent en quelque sorte.	
Yeah, still working on it. Excuse me. Yeah, Ryan here. Maybe they knew each other. No, their family said they didn't know each other.<brk> They had completely different careers, and they lived in different parts of town.	They had completely different careers, and they lived in different parts of town.	Yeah, still working on it. Excuse me. Yeah, Ryan here. Maybe they knew each other. No, their family said they didn't know each other.	They had completely different careers, and <p>they</p> lived in different parts of town.	Elles  ont des carrières complètement différentes, et elles vivaient dans des quartiers différents.	Elles  ont des carrières complètement différentes, et elles vivaient dans des quartiers différents.	Ouais, je travaille toujours dessus. Excusez moi. Ouais, c'est Ryan. Peut être qu'elles se connaissaient. Non, leurs familles disent qu'elles ne se connaissaient pas.	<hon>Elles<hoff>  ont des carrières complètement différentes, et <p>elles</p> vivaient dans des quartiers différents.	Elles avaient une carrière complètement différente, et elles vivaient dans différents coins de la ville.	Elles avaient une carrière complètement différente, et elles vivaient dans différents coins de la ville.	
I don't wanna do that. It's what you must do to guarantee your mother spends the rest of her days filled with love for what is in front of her. You said I should be specific, so I've been really thinking about this. Good. I want to have been married to her, Katie, the whole time.<brk> My current marriage to Heather, wiped out, like it never even happened.	My current marriage to Heather, wiped out, like it never even happened.	I don't wanna do that. It's what you must do to guarantee your mother spends the rest of her days filled with love for what is in front of her. You said I should be specific, so I've been really thinking about this. Good. I want to have been married to her, Katie, the whole time.	My current marriage to Heather, wiped out, like <p>it</p> never even happened.	Mon  mariage  avec Heather ? Effacé. Il n'a jamais existé.	Mon  mariage  avec Heather ? Effacé. Il n'a jamais existé.	Je ne veux pas faire ça. Il le faut. Pour que votre mère passe le restant de ses jours à profiter pleinement de l'amour qui l'entoure. Vous m'avez dit d'être précis, alors j'y ai réfléchi. Bien. Je veux avoir été marié avec elle, Katie, pendant tout ce temps.	Mon  <hon>mariage<hoff>  avec Heather ? Effacé. <p>Il</p> n'a jamais existé.	Mon mariage actuel avec Heather, effacé, comme s'il n'était jamais arrivé.	Mon mariage actuel avec Heather, effacé, comme s'il n'était jamais arrivé.	
The thing is, Tommy made a series of rookie mistakes. I hardly noticed them at first, but when you add 'em all up, there's no way he could be a trained cop. I-I would... I would just like you to note that I told you so. I told you so!<brk> The skinwalker sounds and looks like his victims, but he doesn't know what they know.	The skinwalker sounds and looks like his victims, but he doesn't know what they know.	The thing is, Tommy made a series of rookie mistakes. I hardly noticed them at first, but when you add 'em all up, there's no way he could be a trained cop. I-I would... I would just like you to note that I told you so. I told you so!	The skinwalker sounds and looks like his victims, but he doesn't know what <p>they</p> know.	Le porteur de peau parle et ressemble à ses  victimes , mais il ignore ce qu'elles savent.	Le porteur de peau parle et ressemble à ses  victimes , mais il ignore ce qu'elles savent.	Le truc c'est que, Tommy a commis une série d'erreurs de débutants. Je les ai difficilement remarquées au début, mais quand on les additionne toutes, il n'y a aucune possibilité qu'il soit un policier entraîné. J-Je voudrais... Je voudrais juste que tu précises que je te l'avais dit. Je te l'avais bien dit !	Le porteur de peau parle et ressemble à ses  <hon>victimes<hoff> , mais il ignore ce qu'<p>elles</p> savent.	Le skinwalker sonne et ressemble à ses victimes, mais il ne sait pas ce qu'elles savent.	Le skinwalker sonne et ressemble à ses victimes, mais il ne sait pas ce qu'elles savent.	
I looked at these stickers, the non-standard alloy wheels, and I suspect this has been slammed. It does look like it's been slammed. It's been lowered. So you add those things together, and I've deduced it was probably owned by...a parish priest? June Whitfield, probably.<brk> It's funny you should say that, because I employ a similar tactic when I'm buying a car, so I looked at things like - it has very high-specification after-market brake pads.	It's funny you should say that, because I employ a similar tactic when I'm buying a car, so I looked at things like - it has very high-specification after-market brake pads.	I looked at these stickers, the non-standard alloy wheels, and I suspect this has been slammed. It does look like it's been slammed. It's been lowered. So you add those things together, and I've deduced it was probably owned by...a parish priest? June Whitfield, probably.	It's funny you should say that, because I employ a similar tactic when I'm buying a car, so I looked at things like - <p>it</p> has very high-specification after-market brake pads.	Marrant que tu dises ça, parce que j'emploie la même technique lorsque j'achète une  voiture , donc j'ai remarqué des choses comme - elle a des plaquettes de frein renforcées achetés après la voiture.	Marrant que tu dises ça, parce que j'emploie la même technique lorsque j'achète une  voiture , donc j'ai remarqué des choses comme - elle a des plaquettes de frein renforcées achetés après la voiture.	J'ai vu ces autocollants, les jantes alliages rajoutées et je suspecte qu'elle ait été rabaissée Oui, on dirait bien. Elle a été rabaissée. Donc tu additionnes tous ces trucs et j'en ai déduis que son propriétaire était sûrement...un curé? June Whitfield, probablement.	Marrant que tu dises ça, parce que j'emploie la même technique lorsque j'achète une  <hon>voiture<hoff> , donc j'ai remarqué des choses comme - <p>elle</p> a des plaquettes de frein renforcées achetés après la voiture.	C'est marrant de dire que, parce que j'utilise la même technique quand j'achète une voiture, alors j'ai regardé des choses comme - elle a des serviettes de frein après marché très sophistiquées.	C'est marrant de dire que, parce que j'utilise la même technique quand j'achète une voiture, alors j'ai regardé des choses comme - elle a des serviettes de frein après marché très sophistiquées.	
Here, are all the flowers women like! Roses which stand for burning love. Lillies which mean a pure love. Tulips are a confession of love. These are all flowers that are related to love.<brk> That's why women will feel wonderful when they receive them, don't you think?	That's why women will feel wonderful when they receive them, don't you think?	Here, are all the flowers women like! Roses which stand for burning love. Lillies which mean a pure love. Tulips are a confession of love. These are all flowers that are related to love.	That's why women will feel wonderful when <p>they</p> receive them, don't you think?	C'est pourquoi les  femmes  se sentent merveilleuses quand elles les reçoivent, ne pensez-vous pas ?	C'est pourquoi les  femmes  se sentent merveilleuses quand elles les reçoivent, ne pensez-vous pas ?	Ici, ce sont toutes les fleurs que les femmes aiment ! Les roses qui se tiennent à l'amour brûlant. Les lys qui signifient un amour pur. Les tulipes sont un aveu de l'amour. Ce sont toutes les fleurs qui sont liées à l'amour.	C'est pourquoi les  <hon>femmes<hoff>  se sentent merveilleuses quand <p>elles</p> les reçoivent, ne pensez-vous pas ?	C'est pour ça que les femmes se sentent merveilleuses quand elles les reçoivent, non?	C'est pour ça que les femmes se sentent merveilleuses quand elles les reçoivent, non?	
- Nuh-uh. - Uh-uh. Seen stranger. - Not really. - I've seen stranger. - Artie! - Yeah?<brk> That thing, it went down under the carpet, into the floor, now...	That thing, it went down under the carpet, into the floor, now...	- Nuh-uh. - Uh-uh. Seen stranger. - Not really. - I've seen stranger. - Artie! - Yeah?	That thing, <p>it</p> went down under the carpet, into the floor, now...	Cette  chose , elle est allée sous le tapis, dans le sol, maintenant...	Cette  chose , elle est allée sous le tapis, dans le sol, maintenant...	Vu plus étrange. - Pas vraiment. - J'ai vu un étranger. - Artie ! - Oui ?	Cette  <hon>chose<hoff> , <p>elle</p> est allée sous le tapis, dans le sol, maintenant...	Ce truc, il est tombé sous le tapis, dans le plancher, maintenant...	Ce truc, il est tombé sous le tapis, dans le plancher, maintenant...	
That's not funny. You didn't answer. Do you love him? Oh... I was at secondary school when he asked for my hand.<brk> All the girls went crazy when they saw his picture.	All the girls went crazy when they saw his picture.	That's not funny. You didn't answer. Do you love him? Oh... I was at secondary school when he asked for my hand.	All the girls went crazy when <p>they</p> saw his picture.	Mes  copines  étaient folles de lui quand elles ont vu sa photo.	Mes  copines  étaient folles de lui quand elles ont vu sa photo.	Très drôle. Réponds-moi. Tu l'aimes ? Ma chérie... J'étais au lycée quand ton père a demandé ma main.	Mes  <hon>copines<hoff>  étaient folles de lui quand <p>elles</p> ont vu sa photo.	Toutes les filles sont devenues folles quand elles ont vu sa photo.	Toutes les filles sont devenues folles quand elles ont vu sa photo.	
Oops, the propeller fell. That was over 8 seconds. You'll live long. I don't want to live a long life as an invalid. Not that kind of long life.<brk> I see people like that, I wish they'd just go.	I see people like that, I wish they'd just go.	Oops, the propeller fell. That was over 8 seconds. You'll live long. I don't want to live a long life as an invalid. Not that kind of long life.	I see people like that, I wish <p>they</p>'d just go.	Je vois des  personnes  dans cet état, Je souhaite qu'elles se dépêchent de s'en ailler.	Je vois des  personnes  dans cet état, Je souhaite qu'elles se dépêchent de s'en ailler.	Oups, l'hélice est tombée. Ca a dépassé les 8 secondes. Vous vivrez longtemps. Je ne veux pas vivre une longue vie comme un invalide. Pas ce genre de longue vie.	Je vois des  <hon>personnes<hoff>  dans cet état, Je souhaite qu'<p>elles</p> se dépêchent de s'en ailler.	Je vois des gens comme ça, j'aimerais qu'ils s'en aillent.	Je vois des gens comme ça, j'aimerais qu'ils s'en aillent.	
I won't have you suspended... Without pay. Oh, that sounds great. Okay, the deal is if Amy gets more arrests, Jake has to give her his car.<brk> It's an old Mustang, and it's pretty sweet.	It's an old Mustang, and it's pretty sweet.	I won't have you suspended... Without pay. Oh, that sounds great. Okay, the deal is if Amy gets more arrests, Jake has to give her his car.	It's an old Mustang, and <p>it</p>'s pretty sweet.	C'est une vieille  Mustang , et elle est plutôt cool.	C'est une vieille  Mustang , et elle est plutôt cool.	Je ne vous suspendrai pas. Sans salaire. Oh, ça a l'air parfait. Ok, le pari est que si Amy obtient plus d'arrestations, Jake doit lui donner sa voiture.	C'est une vieille  <hon>Mustang<hoff> , et <p>elle</p> est plutôt cool.	C'est une vieille Mustang, et elle est assez douce.	C'est une vieille Mustang, et elle est assez douce.	
Was. Ain't nothing left. Of course. Thomas, didn't we know someone with the railroad in meridian? Is there a railroad there, Mr. Bohannon?<brk> Yes, ma'am, mobile and Ohio had a railhead there before it burned.	Yes, ma'am, mobile and Ohio had a railhead there before it burned.	Was. Ain't nothing left. Of course. Thomas, didn't we know someone with the railroad in meridian? Is there a railroad there, Mr. Bohannon?	Yes, ma'am, mobile and Ohio had a railhead there before <p>it</p> burned.	Oui, madame, Mobile et l'Ohio avait une  ligne  mais elle a brûlé.	Oui, madame, Mobile et l'Ohio avait une  ligne  mais elle a brûlé.	Était. Il n'en reste rien. Bien sûr. Thomas, ne connaissions nous pas quelqu'un avec le chemin de fer à Meridian ? Il y a un chemin de fer là-bas, M. Bohannon ?	Oui, madame, Mobile et l'Ohio avait une  <hon>ligne<hoff>  mais <p>elle</p> a brûlé.	Oui, madame, mobile et l'Ohio avaient une tête de fer avant qu'elle ne brûle.	Oui, madame, mobile et l'Ohio avaient une tête de fer avant qu'elle ne brûle.	
It heals. This is a new age. This is a new God. You're insane. And I won't help.<brk> This thing is too powerful, and I want it to die.	This thing is too powerful, and I want it to die.	It heals. This is a new age. This is a new God. You're insane. And I won't help.	This thing is too powerful, and I want <p>it</p> to die.	Cette  chose  est trop puissante, et je veux qu'elle meure.	Cette  chose  est trop puissante, et je veux qu'elle meure.	Elle guérit. C'est une nouvelle ère. Un nouveau Dieu. Tu es fou. Et je n'aiderai pas.	Cette  <hon>chose<hoff>  est trop puissante, et je veux qu'<p>elle</p> meure.	Cette chose est trop puissante, et je veux qu'elle meure.	Cette chose est trop puissante, et je veux qu'elle meure.	
Okay. All right. I don't know if this is related, but this Elkins woman... she was Mike's type. Type in what way? Here's how it worked with him.<brk> He'd... he'd go out and interview victims, and if he could end up helping them and they were, you know, an attractive woman, he'd... he'd talk them into a one-nighter.	He'd... he'd go out and interview victims, and if he could end up helping them and they were, you know, an attractive woman, he'd... he'd talk them into a one-nighter.	Okay. All right. I don't know if this is related, but this Elkins woman... she was Mike's type. Type in what way? Here's how it worked with him.	He'd... he'd go out and interview victims, and if he could end up helping them and <p>they</p> were, you know, an attractive woman, he'd... he'd talk them into a one-nighter.	Il sortait et interrogeait des  victimes , et s'il pouvait les aider et qu'elles étaient, vous savez, des femmes séduisantes, il... il les pérsuadait d'avoir une liaison sans lendemain.	Il sortait et interrogeait des  victimes , et s'il pouvait les aider et qu'elles étaient, vous savez, des femmes séduisantes, il... il les pérsuadait d'avoir une liaison sans lendemain.	D'accord. Bien. J'ignore si c'est lié, mais cette Elkins... elle était le type de Mike. Type dans quel sens ? C'est comment ça qu'il travaillait.	Il sortait et interrogeait des  <hon>victimes<hoff> , et s'il pouvait les aider et qu'<p>elles</p> étaient, vous savez, des femmes séduisantes, il... il les pérsuadait d'avoir une liaison sans lendemain.	Il allait interviewer les victimes, et s'il pouvait les aider et qu'elles étaient... attirantes, il les parlerait en une nuit.	Il allait interviewer les victimes, et s'il pouvait les aider et qu'elles étaient... attirantes, il les parlerait en une nuit.	
Yes. I am. Senator Colton, what do you have to say about these allegations from your wife? I'd say I'm disappointed and heartbroken. My wife has decided to sling mud, falsely.<brk> Why would she make such allegations if they weren't true?	Why would she make such allegations if they weren't true?	Yes. I am. Senator Colton, what do you have to say about these allegations from your wife? I'd say I'm disappointed and heartbroken. My wife has decided to sling mud, falsely.	Why would she make such allegations if <p>they</p> weren't true?	Pourquoi aurait-elle fait ces  allégations  si elles n'étaient pas vraies ?	Pourquoi aurait-elle fait ces  allégations  si elles n'étaient pas vraies ?	Oui. Je suis prête. Sénateur Colton, avez-vous quelque chose à dire à propos des allégations de votre femme ? Je dirais que je suis déçu et désespéré. Ma femme a décidé de me traîner dans la boue, faussement.	Pourquoi aurait-elle fait ces  <hon>allégations<hoff>  si <p>elles</p> n'étaient pas vraies ?	Pourquoi ferait-elle de telles déclarations si elles n'étaient pas vraies?	Pourquoi ferait-elle de telles déclarations si elles n'étaient pas vraies?	
"Oh, yeah. Um, ""Be careful to avoid extravagant purchases this month."" Well, I think I can manage that one. Well, then I'll count the pistol you gave me as being part of last month. I'll check in with you when I'm back in Washington.<brk> ""Forgiveness does not change the past, but it does enlarge the future."""	"""Forgiveness does not change the past, but it does enlarge the future."""	"Oh, yeah. Um, ""Be careful to avoid extravagant purchases this month."" Well, I think I can manage that one. Well, then I'll count the pistol you gave me as being part of last month. I'll check in with you when I'm back in Washington."	"""Forgiveness does not change the past, but <p>it</p> does enlarge the future."""	"""Le  pardon  ne change pas le passé, mais il fait grandir l'avenir""."	"""Le  pardon  ne change pas le passé, mais il fait grandir l'avenir""."	"Ah oui. ""Fais attention d'éviter les achats extravagants ce mois-ci."" Je pense que ça je peux y arriver. Alors je compte le pistolet que tu m'as donné comme faisant partie du mois dernier. Je reprendrai de tes nouvelles quand je serai rentré à Washington."	"""Le  <hon>pardon<hoff>  ne change pas le passé, mais <p>il</p> fait grandir l'avenir""."	"""Le pardon ne change pas le passé, mais il grossit le futur."""	"""Le pardon ne change pas le passé, mais il grossit le futur."""	
Okay. Tell you What. You look over there, and I'll look over here. We have to be methodical. Skull retrieval requires the use of physics, anatomy... and the careful reading of geological terrain. That sounds like it's gonna take a long time, and I gotta-<brk> Since the head is commonly the first to dislodge during decomp... it could have washed down the hill during last night's rain.	Since the head is commonly the first to dislodge during decomp... it could have washed down the hill during last night's rain.	Okay. Tell you What. You look over there, and I'll look over here. We have to be methodical. Skull retrieval requires the use of physics, anatomy... and the careful reading of geological terrain. That sounds like it's gonna take a long time, and I gotta-	Since the head is commonly the first to dislodge during decomp... <p>it</p> could have washed down the hill during last night's rain.	J'ai... Comme la  tête  est la première à se détacher lors de la décomposition, elle a pu descendre la colline durant l'averse de la nuit dernière.	J'ai... Comme la  tête  est la première à se détacher lors de la décomposition, elle a pu descendre la colline durant l'averse de la nuit dernière.	C'était une mauvaise question. Vous regardez par-là et moi par ici. On doit être méthodiques. La récupération du crâne nécessite l'utilisation de la physique, de l'anatomie et une lecture géologique attentive du terrain. On dirait que ça va prendre du temps.	J'ai... Comme la  <hon>tête<hoff>  est la première à se détacher lors de la décomposition, <p>elle</p> a pu descendre la colline durant l'averse de la nuit dernière.	Puisque la tête est généralement la première à déloger pendant la décompression, elle aurait pu descendre la colline pendant la pluie de la nuit dernière.	Puisque la tête est généralement la première à déloger pendant la décompression, elle aurait pu descendre la colline pendant la pluie de la nuit dernière.	
Not until I have what I came for. You dare challenge me, the ancient Dochraid? You, a puny sorcerer! And yet I will have what I came for. I am a creature of the earth, you cannot kill me.<brk> This sword was forged in a dragon's breath and it will do my bidding.	This sword was forged in a dragon's breath and it will do my bidding.	Not until I have what I came for. You dare challenge me, the ancient Dochraid? You, a puny sorcerer! And yet I will have what I came for. I am a creature of the earth, you cannot kill me.	This sword was forged in a dragon's breath and <p>it</p> will do my bidding.	Cette  épée  a été forgée dans le souffle du dragon. Et elle m'obéit.	Cette  épée  a été forgée dans le souffle du dragon. Et elle m'obéit.	Pas avant d'avoir ce que je veux. Tu oses défier la vieille dochraid ? un sorcier de pacotille. J'aurai ce que je veux. Je suis une créature de la terre. Tu ne peux me tuer.	Cette  <hon>épée<hoff>  a été forgée dans le souffle du dragon. Et <p>elle</p> m'obéit.	Cette épée a été façonnée dans le souffle d'un dragon et elle fera mon devoir.	Cette épée a été façonnée dans le souffle d'un dragon et elle fera mon devoir.	
